B1200	Кнопка климат-контроля отказ цепи
P0167	Датчик O2 цепь активность не обнаружена (банк 2 датчик 3)
P0170	Подогреватель датчика O2 неисправность цепи (банк 2 датчик 3)
P0171	Коррекция топлива неисправность (банк 1)
P0172	Коррекция топлива бедная смесь (банк 1)
P0173	Коррекция топлива слишком богатая смесь (банк 1)
P0174	Коррекция топлива неисправность (банк 2)
P0175	Коррекция топлива слишком бедная смесь (банк 2)
P0176	Коррекция топлива слишком богатая смесь (банк 2)
P0177	Топливо Composition датчик неисправность цепи
P0178	Топливо Composition датчик цепь: диапазон/производительность
P0179	Топливо Composition датчик низкий уровень сигнала цепи
P0180	Топливо Composition датчик высокий уровень сигнала цепи
P0181	Топливо датчик температуры A неисправность цепи
P0182	Топливо датчик температуры A цепь: диапазон/производительность
P0183	Топливо датчик температуры A низкий уровень сигнала цепи
P0184	Топливо датчик температуры A высокий уровень сигнала цепи
P0185	Топливо датчик температуры A цепь с перебоями
P0186	Топливо датчик температуры B неисправность цепи
P0187	Топливо датчик температуры B цепь: диапазон/производительность
P0188	Топливо датчик температуры B низкий уровень сигнала цепи
P0189	Топливо датчик температуры B высокий уровень сигнала цепи
P0190	Топливо датчик температуры B цепь с перебоями
P0191	Давление в топливной рампе датчик неисправность цепи
P0192	Давление в топливной рампе датчик цепь: диапазон/производительность
P0193	Давление в топливной рампе датчик низкий уровень сигнала цепи
P0194	Давление в топливной рампе датчик высокий уровень сигнала цепи
P0195	Давление в топливной рампе датчик цепь с перебоями
P0196	Температура масла ДВС датчик неисправность
P0197	Температура масла ДВС датчик диапазон/производительность
P0198	Температура масла ДВС датчик низкий
P0199	Температура масла ДВС датчик высокий
P0200	Температура масла ДВС датчик с перебоями
P0201	Форсунка неисправность цепи
P0202	Форсунка неисправность цепи - цилиндр 1
P0203	Форсунка неисправность цепи - цилиндр 2
P0204	Форсунка неисправность цепи - цилиндр 3
P0205	Форсунка неисправность цепи - цилиндр 4
P0206	Форсунка неисправность цепи - цилиндр 5
P0207	Форсунка неисправность цепи - цилиндр 6
P0208	Форсунка неисправность цепи - цилиндр 7
P0209	Форсунка неисправность цепи - цилиндр 8
P0210	Форсунка неисправность цепи - цилиндр 9
P0211	Форсунка неисправность цепи - цилиндр 10
P0212	Форсунка неисправность цепи - цилиндр 11
P0213	Форсунка неисправность цепи - цилиндр 12
P0214	Cold Start форсунка 1 неисправность
P0215	Cold Start форсунка 2 неисправность
P0216	Двигатель Shutoff соленоид неисправность
P0217	Впрыск Timing управление неисправность цепи
P0218	Двигатель Overtemp Condition
P0219	Трансмиссия Over температура Condition
P0220	Двигатель Overspeed Condition
P0221	Throttle/Petal положение Sensor/Switch B неисправность цепи
P0222	Throttle/Petal положение Sensor/Switch B цепь вне диапазона/производительности
P0223	Throttle/Petal положение Sensor/Switch B низкий уровень сигнала цепи
P0224	Throttle/Petal положение Sensor/Switch B высокий уровень сигнала цепи
P0225	Throttle/Petal положение Sensor/Switch B цепь с перебоями
P0226	Throttle/Petal положение Sensor/Switch C неисправность цепи
P0227	Throttle/Petal положение Sensor/Switch C цепь вне диапазона/производительности
P0228	Throttle/Petal положение Sensor/Switch C низкий уровень сигнала цепи
P0229	Throttle/Petal положение Sensor/Switch C высокий уровень сигнала цепи
P0230	Throttle/Petal положение Sensor/Switch C цепь с перебоями
P0231	Топливный насос основной неисправность цепи
P0232	Топливный насос вторичный цепь низкий
P0233	Топливный насос вторичный цепь высокий
P0234	Топливный насос вторичный цепь с перебоями
P0235	Двигатель Overboost Condition
P0236	Турбокомпрессор наддув датчик A неисправность цепи
P0237	Турбокомпрессор наддув датчик A цепь: диапазон/производительность
P0238	Турбокомпрессор наддув датчик A цепь низкий
P0239	Турбокомпрессор наддув датчик A цепь высокий
P0240	Турбокомпрессор наддув датчик B неисправность
P0241	Турбокомпрессор наддув датчик B цепь: диапазон/производительность
P0242	Турбокомпрессор наддув датчик B цепь низкий
P0243	Турбокомпрессор наддув датчик B цепь высокий
P0244	Турбокомпрессор wastegate соленоид A неисправность
P0245	Турбокомпрессор wastegate соленоид A диапазон/производительность
P0246	Турбокомпрессор wastegate соленоид A низкий
P0247	Турбокомпрессор wastegate соленоид A высокий
P0248	Турбокомпрессор wastegate соленоид B неисправность
P0249	Турбокомпрессор wastegate соленоид B диапазон/производительность
P0250	Турбокомпрессор wastegate соленоид B низкий
P0251	Турбокомпрессор wastegate соленоид B высокий
P0252	Впрыск насос топливо Metering управление " A " неисправность (Cam/Rotor/Injector)
P0253	Впрыск насос топливо Metering управление " A " диапазон/производительность (Cam/Rotor/Injector)
P0254	Впрыск насос топливо Metering управление " A " низкий (Cam/Rotor/Injector)
P0255	Впрыск насос топливо Metering управление " A " высокий (Cam/Rotor/Injector)
P0256	Впрыск насос топливо Metering управление " A " с перебоями (Cam/Rotor/Injector)
P0257	Впрыск насос топливо Metering управление " B " неисправность (Cam/Rotor/Injector)
P0258	Впрыск насос топливо Metering управление " B " диапазон/производительность (Cam/Rotor/Injector)
P0259	Впрыск насос топливо Metering управление " B " низкий (Cam/Rotor/Injector)
P0260	Впрыск насос топливо Metering управление " B " высокий (Cam/Rotor/Injector)
P0261	Впрыск насос топливо Metering управление " B " с перебоями (Cam/Rotor/Injector)
P0262	Цилиндр 1 форсунка цепь низкий
P0263	Цилиндр 1 форсунка цепь высокий
P0264	Цилиндр 1 Contribution/Balance неисправность
P0265	Цилиндр 2 форсунка цепь низкий
P0266	Цилиндр 2 форсунка цепь высокий
P0267	Цилиндр 2 Contribution/Balance неисправность
P0268	Цилиндр 3 форсунка цепь низкий
P0269	Цилиндр 3 форсунка цепь высокий
P0270	Цилиндр 3 Contribution/Balance неисправность
P0271	Цилиндр 4 форсунка цепь низкий
P0272	Цилиндр 4 форсунка цепь высокий
P0273	Цилиндр 4 Contribution/Balance неисправность
P0274	Цилиндр 5 форсунка цепь низкий
P0275	Цилиндр 5 форсунка цепь высокий
P0276	Цилиндр 5 Contribution/Balance неисправность
P0277	Цилиндр 6 форсунка цепь низкий
P0278	Цилиндр 6 форсунка цепь высокий
P0279	Цилиндр 6 Contribution/Balance неисправность
P0280	Цилиндр 7 форсунка цепь низкий
P0281	Цилиндр 7 форсунка цепь высокий
P0282	Цилиндр 7 Contribution/Balance неисправность
P0283	Цилиндр 8 форсунка цепь низкий
P0284	Цилиндр 8 форсунка цепь высокий
P0285	Цилиндр 8 Contribution/Balance неисправность
P0286	Цилиндр 9 форсунка цепь низкий
P0287	Цилиндр 9 форсунка цепь высокий
P0288	Цилиндр 9 Contribution/Balance неисправность
P0289	Цилиндр 10 форсунка цепь низкий
P0290	Цилиндр 10 форсунка цепь высокий
P0291	Цилиндр 10 Contribution/Balance неисправность
P0292	Цилиндр 11 форсунка цепь низкий
P0293	Цилиндр 11 форсунка цепь высокий
P0294	Цилиндр 11 Contribution/Balance неисправность
P0295	Цилиндр 12 форсунка цепь низкий
P0296	Цилиндр 12 форсунка цепь высокий
P0300	Цилиндр 12 вклад/диапазон неисправность
P0301	Обнаружены случайные/множественные пропуски зажигания
P0302	Цилиндр 1 обнаружен пропуск зажигания
P0303	Цилиндр 2 обнаружен пропуск зажигания
P0304	Цилиндр 3 обнаружен пропуск зажигания
P0305	Цилиндр 4 обнаружен пропуск зажигания
P0306	Цилиндр 5 обнаружен пропуск зажигания
P0307	Цилиндр 6 обнаружен пропуск зажигания
P0308	Цилиндр 7 обнаружен пропуск зажигания
P0309	Цилиндр 8 обнаружен пропуск зажигания
P0310	Цилиндр 9 обнаружен пропуск зажигания
P0311	Цилиндр 10 обнаружен пропуск зажигания
P0312	Цилиндр 11 обнаружен пропуск зажигания
P0320	Цилиндр 12 обнаружен пропуск зажигания
P0321	Ignition/Distributor двигатель скорость вход неисправность цепи
P0322	Ignition/Distributor двигатель скорость вход цепь: диапазон/производительность
P0323	Ignition/Distributor двигатель скорость вход цепь нет сигнал
P0325	Ignition/Distributor двигатель скорость вход цепь с перебоями
P0326	Датчик детонации 1 неисправность цепи (банк 1 или один датчик)
P0327	Датчик детонации 1 цепь: диапазон/производительность (банк 1 или один датчик)
P0328	Датчик детонации 1 низкий уровень сигнала цепи (банк 1 или один датчик)
P0329	Датчик детонации 1 высокий уровень сигнала цепи (банк 1 или один датчик)
P0330	Датчик детонации 1 цепь с перебоями (банк 1 или один датчик)
P0331	Датчик детонации 2 неисправность цепи (банк 2)
P0332	Датчик детонации 2 цепь: диапазон/производительность (банк 2)
P0333	Датчик детонации 2 низкий уровень сигнала цепи (банк 2)
P0334	Датчик детонации 2 высокий уровень сигнала цепи (банк 2)
P0335	Датчик детонации 2 цепь с перебоями (банк 2)
P0336	Датчик положения коленвала A неисправность цепи
P0337	Датчик положения коленвала A цепь: диапазон/производительность
P0338	Датчик положения коленвала A низкий уровень сигнала цепи
P0339	Датчик положения коленвала A высокий уровень сигнала цепи
P0340	Датчик положения коленвала A цепь с перебоями
P0341	Датчик положения распредвала неисправность цепи
P0342	Датчик положения распредвала цепь: диапазон/производительность
P0343	Датчик положения распредвала низкий уровень сигнала цепи
P0344	Датчик положения распредвала высокий уровень сигнала цепи
P0350	Датчик положения распредвала цепь с перебоями
P0351	Катушка зажигания Primary/Secondary неисправность цепи
P0352	Катушка зажигания A Primary/Secondary неисправность цепи
P0353	Катушка зажигания B Primary/Secondary неисправность цепи
P0354	Катушка зажигания C Primary/Secondary неисправность цепи
P0355	Катушка зажигания D Primary/Secondary неисправность цепи
P0356	Катушка зажигания E Primary/Secondary неисправность цепи
P0357	Катушка зажигания F Primary/Secondary неисправность цепи
P0358	Катушка зажигания G Primary/Secondary неисправность цепи
P0359	Катушка зажигания H Primary/Secondary неисправность цепи
P0360	Катушка зажигания I Primary/Secondary неисправность цепи
P0361	Катушка зажигания J Primary/Secondary неисправность цепи
P0362	Катушка зажигания K Primary/Secondary неисправность цепи
P0370	Катушка зажигания L Primary/Secondary неисправность цепи
P0371	Timing Reference высокий Resolution сигнал A неисправность
P0372	Timing Reference высокий Resolution сигнал A слишком Many Pulses
P0373	Timing Reference высокий Resolution сигнал A слишком Few Pulses
P0374	Timing Reference высокий Resolution сигнал A Intermittent/Erratic Pulses
P0375	Timing Reference высокий Resolution сигнал A нет Pulses
P0376	Timing Reference высокий Resolution сигнал B неисправность
P0377	Timing Reference высокий Resolution сигнал B слишком Many Pulses
P0378	Timing Reference высокий Resolution сигнал B слишком Few Pulses
P0379	Timing Reference высокий Resolution сигнал B Intermittent/Erratic Pulses
P0380	Timing Reference высокий Resolution сигнал B нет Pulses
P0381	Glow Plug/Heater цепь " A " неисправность
P0382	Glow Plug/Heater индикатор неисправность цепи
P0385	Система EGR Flow неисправность
P0386	Датчик положения коленвала B неисправность цепи
P0387	Датчик положения коленвала B цепь: диапазон/производительность
P0388	Датчик положения коленвала B низкий уровень сигнала цепи
P0389	Датчик положения коленвала B высокий уровень сигнала цепи
P0400	Датчик положения коленвала B цепь с перебоями
P0401	Система EGR Flow неисправность
P0402	Система EGR Flow недостаточно обнаружено
P0403	Система EGR Flow чрезмерный обнаружено
P0404	Система EGR неисправность цепи
P0405	Система EGR цепь: диапазон/производительность
P0406	Система EGR датчик A цепь низкий
P0407	Система EGR датчик A цепь высокий
P0408	Система EGR датчик B цепь низкий
P0410	Система EGR датчик B цепь высокий
P0411	Система вторичного воздуха система неисправность
P0412	Система вторичного воздуха система некорректный Flow обнаружено
P0413	Система вторичного воздуха система Switching клапан A неисправность цепи
P0414	Система вторичного воздуха система Switching клапан A обрыв цепи
P0415	Система вторичного воздуха система Switching клапан A цепь Shorted
P0416	Система вторичного воздуха система Switching клапан B неисправность цепи
P0417	Система вторичного воздуха система Switching клапан B обрыв цепи
P0418	Система вторичного воздуха система Switching клапан B цепь Shorted
P0419	Система вторичного воздуха система реле " A " неисправность цепи
P0420	Система вторичного воздуха система реле " B " неисправность цепи
P0421	Эффективность катализатора ниже порога (банк 1)
P0422	Warm вверх катализатор эффективность ниже порог (банк 1)
P0423	Main катализатор эффективность ниже порог (банк 1)
P0424	Heated катализатор эффективность ниже порог (банк 1)
P0426	Heated катализатор температура ниже порог (банк 1)
P0427	Катализатор датчик температуры диапазон/производительность (банк 1)
P0428	Катализатор датчик температуры низкий входной сигнал (банк 1)
P0430	Катализатор датчик температуры высокий входной сигнал (банк 1)
P0431	Эффективность катализатора ниже порога (банк 2)
P0432	Warm вверх катализатор эффективность ниже порог (банк 2)
P0433	Main катализатор эффективность ниже порог (банк 2)
P0434	Heated катализатор эффективность ниже порог (банк 2)
P0436	Heated катализатор температура ниже порог (банк 2)
P0437	Катализатор датчик температуры диапазон/производительность (банк 2)
P0438	Катализатор датчик температуры низкий входной сигнал (банк 2)
P0440	Катализатор датчик температуры высокий входной сигнал (банк 2)
P0441	Система EVAP неисправность
P0442	Система EVAP некорректный Purge Flow
P0443	Система EVAP Leak обнаружено (small leak)
P0444	Система EVAP Purge управление клапан неисправность цепи
P0445	Система EVAP Purge управление клапан обрыв цепи
P0446	Система EVAP Purge управление клапан цепь Shorted
P0447	Система EVAP обдув управление неисправность цепи
P0448	Система EVAP обдув управление обрыв цепи
P0449	Система EVAP обдув управление цепь Shorted
P0450	Система EVAP обдув Valve/Solenoid неисправность цепи
P0451	Система EVAP датчик давления неисправность
P0452	Система EVAP датчик давления диапазон/производительность
P0453	Система EVAP датчик давления низкий входной сигнал
P0454	Система EVAP датчик давления высокий входной сигнал
P0455	Система EVAP датчик давления с перебоями
P0460	Система EVAP Leak обнаружено (gross leak)
P0461	Датчик уровня топлива неисправность цепи
P0462	Датчик уровня топлива цепь: диапазон/производительность
P0463	Датчик уровня топлива низкий уровень сигнала цепи
P0464	Датчик уровня топлива высокий уровень сигнала цепи
P0465	Датчик уровня топлива цепь с перебоями
P0466	Purge датчик расхода неисправность цепи
P0467	Purge датчик расхода цепь: диапазон/производительность
P0468	Purge датчик расхода низкий уровень сигнала цепи
P0469	Purge датчик расхода высокий уровень сигнала цепи
P0470	Purge датчик расхода цепь с перебоями
P0471	Выпуск датчик давления неисправность
P0472	Выпуск датчик давления диапазон/производительность
P0473	Выпуск датчик давления низкий
P0474	Выпуск датчик давления высокий
P0475	Выпуск датчик давления с перебоями
P0476	Выпуск давление управление клапан неисправность
P0477	Выпуск давление управление клапан диапазон/производительность
P0478	Выпуск давление управление клапан низкий
P0479	Выпуск давление управление клапан высокий
P0480	Выпуск давление управление клапан с перебоями
P0481	Вентилятор охлаждения 1 управление неисправность цепи
P0482	Вентилятор охлаждения 2 управление неисправность цепи
P0483	Вентилятор охлаждения 3 управление неисправность цепи
P0484	Вентилятор охлаждения Rationality Check неисправность
P0485	Вентилятор охлаждения цепь Over ток
P0500	Питание/масса вентилятора охлаждения неисправность цепи
P0501	Датчик скорости автомобиля неисправность
P0502	Датчик скорости автомобиля диапазон/производительность
P0503	Датчик скорости автомобиля низкий входной сигнал
P0505	Датчик скорости автомобиля Intermittent/Erratic/High
P0506	Idle управление система неисправность
P0507	Idle управление система RPM Lower Than Expected
P0510	Idle управление система RPM Higher Than Expected
P0520	Closed дроссель положение выключатель неисправность
P0521	Давление масла ДВС Sensor/Switch неисправность цепи
P0522	Давление масла ДВС Sensor/Switch цепь: диапазон/производительность
P0523	Давление масла ДВС Sensor/Switch цепь низкое напряжение
P0530	Давление масла ДВС Sensor/Switch цепь высокое напряжение
P0531	Давление хладагента А/С датчик неисправность цепи
P0532	Давление хладагента А/С датчик цепь: диапазон/производительность
P0533	Давление хладагента А/С датчик низкий уровень сигнала цепи
P0534	Давление хладагента А/С датчик высокий уровень сигнала цепи
P0550	Воздух Conditioner Refrigerant Charge Loss
P0551	Давление ГУР датчик неисправность цепи
P0552	Давление ГУР датчик цепь: диапазон/производительность
P0553	Давление ГУР датчик низкий уровень сигнала цепи
P0554	Давление ГУР датчик высокий уровень сигнала цепи
P0560	Давление ГУР датчик цепь с перебоями
P0561	Система напряжение неисправность
P0562	Система напряжение Unstable
P0563	А/С датчик давления низкое напряжение (Chrysler)
P0565	Система напряжение высокий
P0566	Cruise управление на сигнал неисправность
P0567	Cruise управление Off сигнал неисправность
P0568	Cruise управление Resume сигнал неисправность
P0569	Cruise управление Set сигнал неисправность
P0570	Cruise управление Coast сигнал неисправность
P0571	Cruise управление Accel сигнал неисправность
P0572	Cruise Control/Brake выключатель A неисправность цепи
P0573	Cruise Control/Brake выключатель A цепь низкий
P0574	Cruise Control/Brake выключатель A цепь высокий
P0575	Cruise управление Related неисправность
P0576	Cruise управление Related неисправность
P0578	Cruise управление Related неисправность
P0579	Cruise управление Related неисправность
P0580	Cruise управление Related неисправность
P0600	Cruise управление Related неисправность
P0601	Serial связь Link неисправность
P0602	Модуль управления Read Only Memory (ROM)
P0603	Модуль управления Programming Error
P0604	Внутренний модуль управления память KAM (KAM) Error
P0605	Внутренний модуль управления случайный Access Memory (RAM) Error
P0606	Внутренний модуль управления Read Only Memory (ROM) Error
P0608	PCM Processor неисправность
P0609	Модуль управления VSS выход " A " неисправность
P0620	Модуль управления VSS выход " B " неисправность
P0621	Generator управление неисправность цепи
P0622	Generator лампа " L " управление неисправность цепи
P0650	Generator Field " F " управление неисправность цепи
P0654	Неисправность индикатор лампа (MIL) управление неисправность цепи
P0655	Двигатель RPM выход неисправность цепи
P0656	Двигатель Hot лампа выход управление цепь Malfucntion
P0700	Выход датчика уровня топлива неисправность цепи
P0701	Неисправность системы управления АКПП
P0702	Система управления АКПП диапазон/производительность
P0703	Система управления АКПП Electrical
P0704	Torque Converter/Brake выключатель B неисправность цепи
P0705	Сцепление выключатель вход неисправность цепи
P0706	Трансмиссия диапазон датчик неисправность цепи (PRNDL вход)
P0707	Трансмиссия диапазон датчик цепь: диапазон/производительность
P0708	Трансмиссия диапазон датчик низкий уровень сигнала цепи
P0709	Трансмиссия диапазон датчик высокий уровень сигнала цепи
P0710	Трансмиссия диапазон датчик цепь с перебоями
P0711	Температура ATF датчик неисправность цепи
P0712	Температура ATF датчик цепь: диапазон/производительность
P0713	Температура ATF датчик низкий уровень сигнала цепи
P0714	Температура ATF датчик высокий уровень сигнала цепи
P0715	Температура ATF датчик цепь с перебоями
P0716	Датчик скорости входного вала/турбины неисправность цепи
P0717	Датчик скорости входного вала/турбины цепь: диапазон/производительность
P0718	Датчик скорости входного вала/турбины цепь нет сигнал
P0719	Датчик скорости входного вала/турбины цепь с перебоями
P0720	Torque Converter/Brake выключатель B цепь низкий
P0721	Датчик выходной скорости неисправность цепи
P0722	Датчик выходной скорости диапазон/производительность
P0723	Датчик выходной скорости нет сигнал
P0724	Датчик выходной скорости с перебоями
P0725	Torque Converter/Brake выключатель B цепь высокий
P0726	Двигатель скорость вход неисправность цепи
P0727	Двигатель скорость вход цепь: диапазон/производительность
P0728	Двигатель скорость вход цепь нет сигнал
P0730	Двигатель скорость вход цепь с перебоями
P0731	Некорректный Gear Ratio
P0732	Gear 1 некорректный ratio
P0733	Gear 2 некорректный ratio
P0734	Gear 3 некорректный ratio
P0735	Gear 4 некорректный ratio
P0736	Gear 5 некорректный ratio
P0740	Reverse некорректный gear ratio
P0741	Блокировка гидротрансформатора цепь Malfuction
P0742	Блокировка гидротрансформатора цепь производительность или Stuck Off
P0743	Блокировка гидротрансформатора цепь Stuck на
P0744	Блокировка гидротрансформатора цепь Electrical
P0745	Блокировка гидротрансформатора цепь с перебоями
P0746	Давление управление соленоид неисправность
P0747	Давление управление соленоид производительность или Stuck Off
P0748	Давление управление соленоид Stuck на
P0749	Давление управление соленоид Electrical
P0750	Давление управление соленоид с перебоями
P0751	Соленоид переключения A неисправность
P0752	Соленоид переключения A производительность или Stuck Off/
P0753	1-2 соленоид переключения клапан производительность
P0754	Соленоид переключения A Stuck на
P0755	Соленоид переключения A Electrical/
P0756	1-2 соленоид переключения цепь Electrical
P0757	Соленоид переключения A с перебоями
P0758	Соленоид переключения B неисправность
P0759	Соленоид переключения B производительность или Stuck Off/
P0760	2-3 соленоид переключения клапан производительность
P0761	Соленоид переключения B Stuck на
P0762	Соленоид переключения B Electrical/ 2-3 соленоид переключения цепь Electrical
P0763	Соленоид переключения B с перебоями
P0764	Соленоид переключения C неисправность
P0765	Соленоид переключения C производительность или Stuck Off
P0766	Соленоид переключения C Stuck на
P0767	Соленоид переключения C Electrical
P0768	Соленоид переключения C с перебоями
P0769	Соленоид переключения D неисправность
P0770	Соленоид переключения D производительность или Stuck Off
P0771	Соленоид переключения D Stuck на
P0772	Соленоид переключения D Electrical
P0773	Соленоид переключения D с перебоями
P0774	Соленоид переключения E неисправность
P0775	Соленоид переключения E производительность или Stuck Off
P0776	Соленоид переключения E Stuck на
P0777	Соленоид переключения E Electrical
P0778	Соленоид переключения E с перебоями
P0779	Давление управление соленоид B неисправность
P0780	Давление управление соленоид B производительность
P0781	Давление управление соленоид B Stuck на
P0782	Давление управление соленоид B Electrical
P0783	Давление управление соленоид B с перебоями
P0784	Shift неисправность
P0785	1-2 Shift неисправность
P0786	2-3 Shift неисправность
P0787	3-4 Shift неисправность
P0788	4-5 Shift неисправность
P0789	Shift/Timing соленоид неисправность/ 3-2 соленоид переключения цепь Electrical
P0790	Shift/Timing соленоид диапазон/производительность
P0801	Shift/Timing соленоид низкий
P0803	Shift/Timing соленоид высокий
P0804	Shift/Timing соленоид с перебоями
P1100	Normal/Performance выключатель неисправность цепи
P1101	Reverse Inhibit управление неисправность цепи
P1102	1-4 Upshift (Skip Shift) соленоид управление неисправность цепи
P1103	1-4 Upshift (Skip Shift) лампа управление неисправность цепи
P1104	MAF датчик с перебоями/ Check all OBDII Systems Not Complete
P1105	MAF датчик Out Self Test диапазон./
P1106	KOER Not Able на Complete KOER Aborted
P1107	MAF датчик в диапазон But Lower Than Expected
P1108	MAF датчик в диапазон But Higher Than Expected
P1109	MAF масса неисправность
P1110	Dual Alternator Upper неисправность
P1111	Dual Alternator Lower неисправность/ абсолютное давление во впускном коллекторе (MAP) (MAP) датчик цепь с перебоями высокое напряжение
P1112	Dual Alternator Lower неисправность цепи/ абсолютное давление во впускном коллекторе (MAP) (MAP) датчик цепь с перебоями низкое напряжение
P1113	Dual Alternator АКБ лампа неисправность цепи
P1114	IAT - B датчик с перебоями
P1115	IAT датчик (D/C) Open/Short
P1116	Температура впускного воздуха (IAT) датчик цепь с перебоями высокое напряжение
P1117	Температура впускного воздуха (IAT) датчик цепь с перебоями низкое напряжение
P1118	IAT датчик Open/Short
P1119	Температура ОЖ (ECT) датчик цепь с перебоями низкий Voltage/IAT - B низкий уровень сигнала цепи
P1120	Температура ОЖ (ECT) датчик цепь с перебоями высокий Voltage/IAT - B высокий уровень сигнала цепи
P1121	Двигатель ОЖ датчик out range/ECT датчик Out Self Test диапазон
P1122	Двигатель ОЖ датчик intermittent/ECT датчик с перебоями
P1123	Manifold Absolute температура низкий уровень сигнала цепи
P1124	Manifold Absolute температура высокий уровень сигнала цепи
P1125	Датчик положения дросселя вне диапазона
P1126	Дроссель положение (TP) датчик цепь с перебоями высокое напряжение
P1127	Дроссель положение (TP) датчик цепь с перебоями низкое напряжение
P1128	Датчик положения дросселя в диапазон But Higher Than Expected
P1129	Датчик положения дросселя Out Self Test диапазон
P1130	Датчик положения дросселя с перебоями
P1131	Дроссель положение (Narrow диапазон) датчик неисправность цепи
P1132	Выпуск Not Warm
P1133	Upstream Heated O2 Sensors Swapped
P1134	Downstream Heated O2 Sensors Swapped
P1135	Lack HO2S выключатель - Adaptive топливо At Limit
P1136	Lack HO2S выключатель - датчик Indicates бедная смесь
P1137	Lack HO2S выключатель - датчик Indicates богатая смесь
P1138	HO2S недостаточно Switching датчик 1
P1139	HO2S Transition Time Ratio датчик 1
P1140	Pedal датчик положения A цепь с перебоями
P1141	Управление вентилятором неисправность цепи
P1142	Lack HO2S выключатель - датчик Indicates бедная смесь
P1143	Lack HO2S12 выключатель - датчик Indicates богатая смесь
P1144	Water в топливо индикатор неисправность цепи
P1150	Water в топливо Condition
P1151	Топливо Restriction индикатор неисправность цепи
P1152	Топливо Restriction Condition
P1153	Воздух Assist управление клапан диапазон/производительность
P1154	Воздух Assist управление клапан неисправность цепи
P1155	Lack HO2S21 выключатель - Adaptive топливо At Limit
P1156	Lack HO2S21 выключатель - датчик Indicates бедная смесь
P1157	Lack HO2S21 выключатель - датчик Indicates богатая смесь
P1158	Банк 2 топливо управление Shifted бедная смесь
P1159	Банк 2 топливо управление Shifted богатая смесь
P1167	Alternative топливо Controller
P1168	Топливо Select выключатель неисправность
P1169	Lack HO2S22 выключатель - датчик Indicates бедная смесь
P1170	Lack HO2S22 выключатель - датчик Indicates богатая смесь
P1171	Топливо Stepper электродвигатель неисправность
P1172	Неверный Test
P1173	Топливо Rail датчик In-Range низкий отказ
P1174	Топливо Rail датчик In-Range высокий отказ
P1175	ESO - двигатель Shut Off соленоид неисправность
P1176	Rotor датчик неисправность
P1177	Rotor управление неисправность
P1178	Rotor калибровка неисправность
P1180	Cam датчик неисправность
P1181	Cam управление неисправность
P1182	Cam калибровка неисправность
P1183	Synchronization неисправность
P1184	(обрыв)
P1185	Топливо Delivery система неисправность - низкий
P1186	Топливо Delivery система неисправность - высокий
P1187	Топливо Shut Off соленоид неисправность
P1188	Температура масла ДВС неисправность цепи
P1189	Температура масла ДВС Out Self Test диапазон
P1190	FTS высокий - топливный насос датчик температуры высокий
P1191	FTS низкий - топливный насос датчик температуры низкий
P1192	Variant Selection
P1193	Калибровка Memory неисправность
P1194	Насос скорость сигнал неисправность
P1195	Калибровка Resistor вне диапазона
P1196	Key Line напряжение
P1197	Напряжение External
P1198	EGR Drive Overcurrent
P1199	ECU A/D Converter
P1200	SCP HBCC Failed на Initialize
P1201	Key Off напряжение высокий
P1202	Key Off напряжение низкий
P1203	Насос Rotor управление Underfueling
P1204	Уровень топлива вход цепь низкий
P1205	Форсунка управление цепь
P1206	Форсунка обрыв цепи/ Shorted - цилиндр # 1
P1209	Форсунка обрыв цепи/ Shorted - цилиндр # 2
P1210	Форсунка обрыв цепи/ Shorted - цилиндр # 3
P1211	Форсунка обрыв цепи/ Shorted - цилиндр # 4
P1212	Форсунка обрыв цепи/ Shorted - цилиндр # 5
P1213	Форсунка обрыв цепи/ Shorted - цилиндр # 6
P1214	Форсунка управление давление система неисправность
P1215	Форсунка управление давление выше Expected уровень
P1216	Форсунка управление датчик давления выше/ ниже Desired
